FQ1,Established_year,Type_SME,Sector,SME_Size,FL1,FL2,FL3,FL4,FR1,FR2,FR3,FR4,RA1,RA2,RA3,RA4,MDA1,MDA2,MDA3,MDA4,FDM1,FDM2,FDM3,FDM4,FA1,FA2,FA3,FA4
YES,1,3,4,1,4,4,4,5,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,2,2,4,2
YES,2,3,5,2,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,3,3,5,3
YES,1,2,3,3,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,3,3,5,3
YES,2,1,2,3,3,5,3,5,3,3,4,3,1,2,3,1,5,3,4,5,3,3,3,3,3,3,5,3
YES,3,4,1,3,4,4,5,5,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,3,3,4,3
YES,1,1,2,3,4,4,3,5,5,4,3,2,1,2,4,1,3,4,4,5,4,5,5,5,1,1,5,1
YES,3,2,3,4,3,3,3,5,4,3,2,3,4,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3
YES,1,1,4,3,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,2,2,3,2
YES,2,2,1,4,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,5,4
YES,2,2,2,4,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,5,3,5
YES,2,2,1,1,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,4,4,5,5
YES,2,4,2,1,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,3,5
YES,1,2,3,2,3,3,3,3,4,3,3,3,3,2,3,3,5,3,4,3,3,3,3,3,3,3,3,5
YES,3,2,4,2,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,3,3,5,5
YES,2,4,4,3,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,3,3,5,5
YES,2,3,3,4,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,4,4,5,5
YES,2,1,3,2,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,3,3,5,5
YES,2,3,5,3,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,3,3,3,3
YES,2,1,3,2,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,3,3,5,3
YES,1,3,4,3,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,4,4,4,4
YES,2,4,5,3,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,2,2,4,2
YES,2,2,3,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,2,2,4,2
YES,2,3,2,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,5,4
YES,3,4,1,3,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,4,4,5,4
YES,1,2,2,5,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,3,3,4,3
YES,2,3,3,1,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,3,2,3,3,4,3,3,5,3
YES,1,2,4,2,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,1,3,3,5,3
YES,2,3,2,3,3,3,3,3,4,3,2,1,2,3,1,2,4,3,3,4,3,5,5,3,3,3,4,3
YES,2,2,4,3,2,2,3,5,2,3,3,2,4,3,2,1,3,4,4,5,2,1,1,3,1,1,5,1
YES,2,3,3,3,1,1,5,5,1,1,1,1,2,2,1,2,5,1,1,4,1,1,2,3,3,3,5,5
YES,2,2,3,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,3,3,3,3
YES,2,3,4,4,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,3,3
YES,3,2,4,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,4,4
YES,1,3,4,5,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,4,4,4,4
YES,1,4,3,5,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,2,2,4,2
YES,2,3,4,1,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,4,2,2,4,2
YES,1,2,5,1,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,3,3
YES,3,4,3,2,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,3,2,2,3,5
YES,3,3,2,2,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,1,1,5,5
YES,2,4,1,3,3,3,3,3,4,3,2,3,4,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3
YES,2,4,2,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,5,3
YES,1,4,3,2,4,5,5,5,2,1,2,1,1,3,3,1,4,5,5,5,4,4,4,3,3,3,3,3
YES,1,4,4,3,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,1,4,4,4,4
YES,2,2,2,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,4,4
YES,1,1,2,3,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,2,2,4,2
YES,2,2,2,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,3,3,5,3
YES,2,4,4,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,4,4,5,4
YES,2,2,3,2,3,3,4,3,5,4,3,2,3,4,2,3,2,1,3,3,3,3,3,3,3,3,5,3
YES,2,4,3,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,3,3,3,3
YES,1,3,5,5,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,3,3,5,3
YES,2,4,3,1,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,4,5,5,5
YES,1,2,4,2,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,5,3,3,5,5
YES,2,2,5,3,4,4,5,5,2,1,2,1,3,3,3,3,4,5,5,5,4,4,4,3,3,3,3,3
YES,3,4,3,3,3,5,3,5,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,4,4
YES,2,2,2,3,2,2,3,5,2,3,3,2,4,3,2,1,3,4,4,5,2,1,1,3,3,3,3,3
YES,2,2,1,3,4,4,5,5,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,3,3,5,3
YES,1,2,2,4,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,4,3
YES,2,4,3,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,3,3
YES,2,2,4,4,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,4,4,4,4
YES,2,3,1,5,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,3,3,5,5
YES,2,1,2,1,4,4,4,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,3,4,4,4,4
YES,1,3,1,1,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,4,4,5,5
YES,2,1,2,2,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,4,3,5,3,5
YES,2,3,3,2,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,4,2,2,3,5
YES,2,2,4,3,2,2,3,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,2,4,4,4,5,5
YES,1,3,4,3,2,2,3,2,4,3,2,1,2,3,2,2,3,2,4,4,2,4,4,3,3,3,5,5
YES,2,2,3,2,4,4,4,4,3,2,3,2,3,2,2,3,3,4,4,3,4,4,4,4,3,3,5,3
YES,1,2,3,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,5,3
YES,3,2,5,2,4,4,3,5,3,4,2,4,3,3,5,3,1,5,1,3,4,4,4,3,4,4,5,4
YES,2,4,3,3,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,4,4,4,4,4
YES,2,3,4,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,2,2,4,2
YES,2,3,5,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,2,2,4,2
YES,2,3,3,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,2,2,4,2
YES,1,4,2,3,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,1,2,2,3,2
YES,3,4,1,5,4,4,5,4,3,1,2,1,3,3,3,3,4,5,5,3,4,4,4,3,2,2,3,2
YES,2,3,2,1,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,4,4,4,4
YES,3,2,3,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,3,3,5,3
YES,2,4,4,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,4,4,3,5
YES,1,2,2,4,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,3,2,3,3,3,2,2,4,2
YES,3,4,3,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,3,3,5,3
YES,2,4,4,5,3,5,3,5,3,3,4,3,1,2,3,1,5,3,4,5,3,3,3,3,3,3,5,3
YES,1,3,5,5,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,3,3,3,3
YES,2,2,3,1,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,1,4,4,4,4
YES,2,1,2,1,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,4,4,5,4
YES,2,3,1,2,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,5,3,3,3,3,3
YES,2,4,2,2,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,3,3
YES,3,2,3,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,3,3,3,3
YES,2,3,4,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,2,2,4,2
YES,2,3,2,2,4,5,5,5,2,1,2,1,1,3,3,1,4,5,5,5,4,4,4,3,3,3,5,3
YES,1,3,2,3,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,3,3,3,5,3,5
YES,3,4,2,2,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,2,4,3,3,5,5
YES,3,1,4,3,4,4,4,5,3,2,3,2,3,2,2,3,3,4,4,3,4,4,5,4,4,4,4,4
YES,2,3,3,3,3,3,3,5,2,3,2,3,2,2,2,2,3,3,5,4,3,5,5,3,4,4,4,4
YES,1,2,3,3,3,3,5,5,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,4,4,5,4
YES,2,4,5,2,3,3,3,5,4,3,4,3,3,2,3,2,5,3,4,4,3,3,3,3,3,3,5,5
YES,1,3,3,3,3,3,4,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,3,3
YES,3,2,4,5,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,5,3
YES,2,4,5,1,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,4,5,5,5
YES,1,3,3,4,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,1,4,4,4,4
YES,2,3,2,3,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,3,3,3,5,5
YES,1,2,1,5,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,5,4,4,4,4,5
YES,2,2,2,5,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,3,3,3,5
YES,1,3,3,1,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,4,3,3,5,5
YES,2,2,4,1,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,3,5
YES,1,4,1,2,4,4,5,4,3,1,2,1,3,3,3,3,4,5,5,3,4,4,4,3,3,3,5,3
YES,2,4,2,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,4,4,4,4
YES,1,2,1,3,3,3,4,3,5,4,3,2,3,4,2,3,2,1,3,3,3,3,3,5,4,4,4,4
YES,1,3,2,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,4,4,5,4
YES,2,2,3,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,4,4
YES,2,2,4,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,2,2,4,2
YES,3,3,4,2,5,5,3,5,4,3,2,1,2,3,2,2,3,2,4,4,2,4,4,4,2,2,4,2
YES,2,3,3,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,3,3,5,3
YES,2,3,3,3,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,3,3,5,3
YES,1,3,5,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,3,3,3,3,3,4,4,5,4
YES,3,3,3,2,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,3,3,3,3
YES,2,3,4,3,2,2,3,2,4,3,2,1,2,3,2,2,3,2,4,4,2,4,4,3,3,3,4,3
YES,2,3,5,5,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,3,3,5,3
YES,2,2,3,1,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,3,3,3,3
YES,1,3,2,2,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,3,3,5,3
YES,1,3,1,3,4,4,5,4,3,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,5,5,3,5
YES,2,4,2,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,3,3,3,3
YES,1,3,3,3,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,4,2,2,4,2
YES,1,3,4,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,3,3,5,3
YES,2,2,2,4,3,3,3,5,4,3,2,3,4,3,3,4,4,3,3,2,3,3,3,3,3,3,4,3
YES,2,4,3,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,3,3,3,3
YES,1,1,4,5,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,3,3,4,3
YES,3,2,5,4,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,3,3,5,3
YES,1,3,3,1,3,3,3,5,4,3,2,3,4,3,3,4,4,3,3,2,3,3,3,3,4,4,5,4
YES,2,3,2,1,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,1,3,3,5,3
YES,1,3,1,2,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,4,4,5,4
YES,2,4,2,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,4,4,5,4
YES,1,1,3,3,4,4,4,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,3,3,3,5,3
YES,3,3,4,3,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,4,3,3,3,3
YES,2,2,2,2,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,3,3,3,3
YES,2,4,2,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,4,3,3,5,3
YES,1,3,2,2,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,5,3,4,4,4,4
YES,1,4,4,3,4,5,5,5,2,1,2,1,1,3,3,1,4,5,5,5,4,4,4,4,4,4,4,4
YES,2,4,3,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,1,4,4,4,4
YES,2,2,3,3,3,3,3,5,4,3,2,3,4,3,3,4,4,3,3,2,3,3,3,3,4,4,5,4
YES,2,4,5,2,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,3,4,4,4,4
YES,1,4,3,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,4,4,5,4
YES,2,4,4,4,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,4,4,4,4
YES,1,3,5,1,3,3,3,5,4,3,2,3,4,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3
YES,2,3,3,2,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,4,4,4,4
YES,1,3,2,3,4,4,4,4,3,2,3,2,2,2,2,2,5,5,5,4,4,4,4,3,4,4,5,4
YES,2,4,1,3,3,3,3,3,4,3,4,3,3,2,3,3,5,3,4,3,3,3,3,4,3,3,3,3
YES,1,3,2,3,4,4,4,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,4,4,4,4,5,4
YES,2,3,3,3,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,4,4,4,4
YES,2,2,4,4,2,2,4,2,3,4,4,3,4,3,4,4,3,4,3,2,2,3,3,3,4,4,4,4
YES,2,1,1,3,3,3,5,3,2,1,2,1,2,2,2,2,5,5,5,4,3,3,3,3,4,4,3,4
YES,1,3,2,5,4,4,5,4,2,1,2,1,3,3,3,3,4,5,5,3,4,4,5,3,4,4,4,4
